achDebitTransId,achWithdrawalAmount,epsAcctNum,epsTranId,tranAmt,tranDate,tranType,efn,pic,postage,crid,masterMid,permitNumber,permitType,permitFinanceNumber,assessmentType,assessmentDetails,custRefNum1,custRefNum2,mailClass,disputeId
,29146.54,1000273037,1196008586,116.23,2026-07-28 01:42:07,ADJUSTMENT,92750903791782000001490241,9234690379178202569019,116.23,49993142,903791782,,,,POSTAGEDELTA AGGREGATED,"Dimensional,Weight",,,FC,
,29146.54,1000273037,1196008583,2.03,2026-07-28 01:42:07,ADJUSTMENT,92750903791782000001494133,9200190379178203824719,2.03,49993142,903791782,,,,POSTAGEDELTA AGGREGATED,Weight,4463653,PRO4675,FC,
,29146.54,1000273037,1196008593,2.09,2026-07-28 01:42:08,ADJUSTMENT,92750903791782000001528968,9236290379178200057945,2.09,49993142,903791782,,,,POSTAGEDELTA AGGREGATED,Zone,,,FC,
13100147,8054.92,1000245755,1196008591,1.58,2026-07-28 01:42:08,ADJUSTMENT,92750903791782000001534907,9200190384491000839260,1.58,49993142,903791782,,,,POSTAGEDELTA AGGREGATED,Weight,,858592241,FC,
,29146.54,1000273037,1196008589,2.09,2026-07-28 01:42:08,ADJUSTMENT,92750903791782000001530879,9236290379178200056078,2.09,49993142,903791782,,,,POSTAGEDELTA AGGREGATED,Zone,,,FC,
,29146.54,1000273037,1196008597,2.3,2026-07-28 01:42:09,ADJUSTMENT,92750903791782000001493839,9200190379178203824672,2.3,49993142,903791782,,,,POSTAGEDELTA AGGREGATED,Weight,4463725,USWEB388993,FC,
,-22.28,1000273037,1196046859,2.25,2026-07-28 02:36:47,REFUND,92750903791782000001533146,9236290379178200065292,2.25,49993142,903791782,,,,POSTAGEDELTA AGGREGATED,Zone,,,FC,
,-24.64,1000273037,1196046862,2.03,2026-07-28 02:36:48,REFUND,92750903791782000001538790,9200190379178203882634,2.03,49993142,903791782,,,,POSTAGEDELTA AGGREGATED,Weight,,,FC,
,-24.64,1000273037,1196046867,2.03,2026-07-28 02:36:48,REFUND,92750903791782000001542063,9200190379178203881941,2.03,49993142,903791782,,,,POSTAGEDELTA AGGREGATED,Weight,,,FC,
13100147,8054.92,1000245755,1196046881,3.15,2026-07-28 02:36:50,ADJUSTMENT,92750903791782000001505846,9200190384491000830588,3.15,49993142,903791782,,,,POSTAGEDELTA AGGREGATED,Weight,CE1046268US,856449241,FC,
,29146.54,1000273037,1196046879,1.25,2026-07-28 02:36:50,ADJUSTMENT,92750903791782000001530145,9200190379178203869314,1.25,49993142,903791782,,,,POSTAGEDELTA AGGREGATED,Weight,,,FC,
13100147,8054.92,1000245755,1196046888,6.79,2026-07-28 02:36:51,ADJUSTMENT,92750903791782000001498834,9200190384491000832551,6.79,49993142,903791782,,,,POSTAGEDELTA AGGREGATED,Weight,,842795178,FC,
,29146.54,1000273037,1196046886,55.71,2026-07-28 02:36:51,ADJUSTMENT,92750903791782000001530152,9234690379178202611664,55.71,49993142,903791782,,,,POSTAGEDELTA AGGREGATED,"Dimensional,Weight",,LCZ05030,FC,
,29146.54,1000273037,1196046884,2.09,2026-07-28 02:36:51,ADJUSTMENT,92750903791782000001531296,9236290379178200061492,2.09,49993142,903791782,,,,POSTAGEDELTA AGGREGATED,Zone,,,FC,
,29146.54,1000273037,1196046889,2.09,2026-07-28 02:36:51,ADJUSTMENT,92750903791782000001530350,9236290379178200059895,2.09,49993142,903791782,,,,POSTAGEDELTA AGGREGATED,Zone,,,FC,
13100147,8054.92,1000245755,1196046890,4.79,2026-07-28 02:36:52,ADJUSTMENT,92750903791782000001498834,9200190384491000832025,4.79,49993142,903791782,,,,POSTAGEDELTA AGGREGATED,Weight,,840719534,FC,
13100147,8054.92,1000245755,1196068995,1.28,2026-07-28 03:28:20,ADJUSTMENT,92750903791782000001526667,9218490384491000134532,1.28,49993142,903791782,,,,POSTAGEDELTA AGGREGATED,Weight,,858211387,FC,
,29146.54,1000273037,1196068996,2.44,2026-07-28 03:28:20,ADJUSTMENT,92750903791782000001476597,9200190379178203795736,2.44,49993142,903791782,,,,POSTAGEDELTA AGGREGATED,Weight,4462577,,FC,
,29146.54,1000273037,1196068994,1.28,2026-07-28 03:28:20,ADJUSTMENT,92750903791782000001474272,9200190379178203797402,1.28,49993142,903791782,,,,POSTAGEDELTA AGGREGATED,Weight,4462043,9220527G19363071,FC,
13100147,8054.92,1000245755,1196068997,1.69,2026-07-28 03:28:21,ADJUSTMENT,92750903791782000001534907,9200190384491000840402,1.69,49993142,903791782,,,,POSTAGEDELTA AGGREGATED,Weight,,859100182,FC,
,29146.54,1000273037,1196068998,2.09,2026-07-28 03:28:21,ADJUSTMENT,92750903791782000001530350,9236290379178200059581,2.09,49993142,903791782,,,,POSTAGEDELTA AGGREGATED,Zone,,,FC,
13100147,8054.92,1000245755,1196186281,1.69,2026-07-28 04:51:46,ADJUSTMENT,92750903791782000001545774,9200190384491000841522,1.69,49993142,903791782,,,,POSTAGEDELTA AGGREGATED,Weight,,859167704,FC,
13100147,8054.92,1000245755,1196186292,2.03,2026-07-28 04:51:47,ADJUSTMENT,92750903791782000001498834,9200190384491000832520,2.03,49993142,903791782,,,,POSTAGEDELTA AGGREGATED,Weight,,856320238,FC,
13100147,8054.92,1000245755,1196186286,2.03,2026-07-28 04:51:47,ADJUSTMENT,92750903791782000001526667,9200190384491000837044,2.03,49993142,903791782,,,,POSTAGEDELTA AGGREGATED,Weight,,858164553,FC,
13100147,8054.92,1000245755,1196186297,1.14,2026-07-28 04:51:48,ADJUSTMENT,92750903791782000001498834,9218490384491000133399,1.14,49993142,903791782,,,,POSTAGEDELTA AGGREGATED,Weight,577482703220871486,855953612,FC,
,29146.54,1000273037,1196186301,3.62,2026-07-28 04:51:48,ADJUSTMENT,92750903791782000001524113,9200190379178203862629,3.62,49993142,903791782,,,,POSTAGEDELTA AGGREGATED,Weight,4468239,,FC,
13100147,8054.92,1000245755,1196210974,203.06,2026-07-28 05:26:33,PURCHASE,92750903791782000001556930,9205590379178300823991,8.46,49993142,903791782,,,,MANIFEST AGGREGATED,,,861558130,PM,
13100147,8054.92,1000245755,1196210974,203.06,2026-07-28 05:26:33,PURCHASE,92750903791782000001556930,9205590379178300824059,7.01,49993142,903791782,,,,MANIFEST AGGREGATED,,,861608990,PM,
13100147,8054.92,1000245755,1196210974,203.06,2026-07-28 05:26:33,PURCHASE,92750903791782000001556930,9205590379178300823908,8.46,49993142,903791782,,,,MANIFEST AGGREGATED,,,861660463,PM,
13100147,8054.92,1000245755,1196210974,203.06,2026-07-28 05:26:33,PURCHASE,92750903791782000001556930,9205590379178300823946,9.64,49993142,903791782,,,,MANIFEST AGGREGATED,,,861625596,PM,
13100147,8054.92,1000245755,1196210974,203.06,2026-07-28 05:26:33,PURCHASE,92750903791782000001556930,9205590379178300824080,9.64,49993142,903791782,,,,MANIFEST AGGREGATED,,,861587323,PM,
13100147,8054.92,1000245755,1196210974,203.06,2026-07-28 05:26:33,PURCHASE,92750903791782000001556930,9205590379178300824127,9.1,49993142,903791782,,,,MANIFEST AGGREGATED,,,860791920,PM,
13100147,8054.92,1000245755,1196210974,203.06,2026-07-28 05:26:33,PURCHASE,92750903791782000001556930,9205590379178300824141,9.64,49993142,903791782,,,,MANIFEST AGGREGATED,,,859564687,PM,
13100147,8054.92,1000245755,1196210974,203.06,2026-07-28 05:26:33,PURCHASE,92750903791782000001556930,9205590379178300824011,9.1,49993142,903791782,,,,MANIFEST AGGREGATED,,,861588914,PM,
13100147,8054.92,1000245755,1196210974,203.06,2026-07-28 05:26:33,PURCHASE,92750903791782000001556930,9205590379178300823977,9.25,49993142,903791782,,,,MANIFEST AGGREGATED,,,861611988,PM,
13100147,8054.92,1000245755,1196210974,203.06,2026-07-28 05:26:33,PURCHASE,92750903791782000001556930,9205590379178300824134,9.1,49993142,903791782,,,,MANIFEST AGGREGATED,,,861587670,PM,
13100147,8054.92,1000245755,1196210974,203.06,2026-07-28 05:26:33,PURCHASE,92750903791782000001556930,9205590379178300823953,9.64,49993142,903791782,,,,MANIFEST AGGREGATED,,,861659191,PM,
13100147,8054.92,1000245755,1196210974,203.06,2026-07-28 05:26:33,PURCHASE,92750903791782000001556930,9205590379178300823939,9.64,49993142,903791782,,,,MANIFEST AGGREGATED,,,861600392,PM,
13100147,8054.92,1000245755,1196210974,203.06,2026-07-28 05:26:33,PURCHASE,92750903791782000001556930,9205590379178300824028,9.64,49993142,903791782,,,,MANIFEST AGGREGATED,,,861559263,PM,
13100147,8054.92,1000245755,1196210974,203.06,2026-07-28 05:26:33,PURCHASE,92750903791782000001556930,9205590379178300824004,9.1,49993142,903791782,,,,MANIFEST AGGREGATED,,,861589402,PM,
13100147,8054.92,1000245755,1196210974,203.06,2026-07-28 05:26:33,PURCHASE,92750903791782000001556930,9205590379178300823984,7.27,49993142,903791782,,,,MANIFEST AGGREGATED,,,861645265,PM,
13100147,8054.92,1000245755,1196210974,203.06,2026-07-28 05:26:33,PURCHASE,92750903791782000001556930,9205590379178300823915,9.1,49993142,903791782,,,,MANIFEST AGGREGATED,,,861569458,PM,
13100147,8054.92,1000245755,1196210974,203.06,2026-07-28 05:26:33,PURCHASE,92750903791782000001556930,9205590379178300824035,7.27,49993142,903791782,,,,MANIFEST AGGREGATED,,,861595916,PM,
13100147,8054.92,1000245755,1196210974,203.06,2026-07-28 05:26:33,PURCHASE,92750903791782000001556930,9205590379178300824073,9.1,49993142,903791782,,,,MANIFEST AGGREGATED,,,861594376,PM,
13100147,8054.92,1000245755,1196210974,203.06,2026-07-28 05:26:33,PURCHASE,92750903791782000001556930,9205590379178300823922,6.88,49993142,903791782,,,,MANIFEST AGGREGATED,,,861561874,PM,
13100147,8054.92,1000245755,1196210974,203.06,2026-07-28 05:26:33,PURCHASE,92750903791782000001556930,9205590379178300824042,9.1,49993142,903791782,,,,MANIFEST AGGREGATED,,,861600493,PM,
13100147,8054.92,1000245755,1196210974,203.06,2026-07-28 05:26:33,PURCHASE,92750903791782000001556930,9205590379178300824066,8.82,49993142,903791782,,,,MANIFEST AGGREGATED,,,861597604,PM,
13100147,8054.92,1000245755,1196210974,203.06,2026-07-28 05:26:33,PURCHASE,92750903791782000001556930,9205590379178300823960,8.46,49993142,903791782,,,,MANIFEST AGGREGATED,,,861650510,PM,
13100147,8054.92,1000245755,1196210974,203.06,2026-07-28 05:26:33,PURCHASE,92750903791782000001556930,9205590379178300824103,9.64,49993142,903791782,,,,MANIFEST AGGREGATED,,,861575088,PM,
13100147,8054.92,1000245755,1196210976,228.88,2026-07-28 05:26:34,PURCHASE,92750903791782000001556930,9200190379178300503258,4.32,49993142,903791782,,,,MANIFEST AGGREGATED,,,861586290,FC,
13100147,8054.92,1000245755,1196210976,228.88,2026-07-28 05:26:34,PURCHASE,92750903791782000001556930,9234690379178300302440,6.88,49993142,903791782,,,,MANIFEST AGGREGATED,,1404681,861431780,FC,
13100147,8054.92,1000245755,1196210976,228.88,2026-07-28 05:26:34,PURCHASE,92750903791782000001556930,9200190379178300503180,4.25,49993142,903791782,,,,MANIFEST AGGREGATED,,,861661360,FC,
13100147,8054.92,1000245755,1196210976,228.88,2026-07-28 05:26:34,PURCHASE,92750903791782000001556930,9200190379178300503234,4.61,49993142,903791782,,,,MANIFEST AGGREGATED,,,861574775,FC,
13100147,8054.92,1000245755,1196210976,228.88,2026-07-28 05:26:34,PURCHASE,92750903791782000001556930,9234690379178300302501,10.24,49993142,903791782,,,,MANIFEST AGGREGATED,,1405474,861523447,FC,
13100147,8054.92,1000245755,1196210976,228.88,2026-07-28 05:26:34,PURCHASE,92750903791782000001556930,9234690379178300302419,9.51,49993142,903791782,,,,MANIFEST AGGREGATED,,1404831,861432092,FC,
13100147,8054.92,1000245755,1196210976,228.88,2026-07-28 05:26:34,PURCHASE,92750903791782000001556930,9200190379178300503340,4.17,49993142,903791782,,,,MANIFEST AGGREGATED,,,861740112,FC,
13100147,8054.92,1000245755,1196210976,228.88,2026-07-28 05:26:34,PURCHASE,92750903791782000001556930,9234690379178300302433,6.88,49993142,903791782,,,,MANIFEST AGGREGATED,,1403745,861523382,FC,
13100147,8054.92,1000245755,1196210976,228.88,2026-07-28 05:26:34,PURCHASE,92750903791782000001556930,9234690379178300302525,13.32,49993142,903791782,,,,MANIFEST AGGREGATED,,1407548,861615404,FC,
13100147,8054.92,1000245755,1196210976,228.88,2026-07-28 05:26:34,PURCHASE,92750903791782000001556930,9200190379178300503326,4.28,49993142,903791782,,,,MANIFEST AGGREGATED,,,861159514,FC,
13100147,8054.92,1000245755,1196210976,228.88,2026-07-28 05:26:34,PURCHASE,92750903791782000001556930,9200190379178300503227,4.32,49993142,903791782,,,,MANIFEST AGGREGATED,,,861651104,FC,
13100147,8054.92,1000245755,1196210976,228.88,2026-07-28 05:26:34,PURCHASE,92750903791782000001556930,9234690379178300302488,6.88,49993142,903791782,,,,MANIFEST AGGREGATED,,1404934,861432293,FC,
13100147,8054.92,1000245755,1196210976,228.88,2026-07-28 05:26:34,PURCHASE,92750903791782000001556930,9200190379178300503173,4.25,49993142,903791782,,,,MANIFEST AGGREGATED,,,861661865,FC,
13100147,8054.92,1000245755,1196210976,228.88,2026-07-28 05:26:34,PURCHASE,92750903791782000001556930,9234690379178300302402,6.88,49993142,903791782,,,,MANIFEST AGGREGATED,,1403222,861428686,FC,
13100147,8054.92,1000245755,1196210976,228.88,2026-07-28 05:26:34,PURCHASE,92750903791782000001556930,9200190379178300503210,6.84,49993142,903791782,,,,MANIFEST AGGREGATED,,1404909,861432243,FC,
13100147,8054.92,1000245755,1196210976,228.88,2026-07-28 05:26:34,PURCHASE,92750903791782000001556930,9234690379178300302495,10.24,49993142,903791782,,,,MANIFEST AGGREGATED,,1406640,861436232,FC,
13100147,8054.92,1000245755,1196210976,228.88,2026-07-28 05:26:34,PURCHASE,92750903791782000001556930,9234690379178300302471,8.9,49993142,903791782,,,,MANIFEST AGGREGATED,,1406847,861436736,FC,
13100147,8054.92,1000245755,1196210976,228.88,2026-07-28 05:26:34,PURCHASE,92750903791782000001556930,9234690379178300302518,10.24,49993142,903791782,,,,MANIFEST AGGREGATED,,1406585,861436101,FC,
13100147,8054.92,1000245755,1196210976,228.88,2026-07-28 05:26:34,PURCHASE,92750903791782000001556930,9234690379178300302426,13.48,49993142,903791782,,,,MANIFEST AGGREGATED,,1402915,861523341,FC,
13100147,8054.92,1000245755,1196210976,228.88,2026-07-28 05:26:34,PURCHASE,92750903791782000001556930,9200190379178300503302,4.32,49993142,903791782,,,,MANIFEST AGGREGATED,,,861717408,FC,
13100147,8054.92,1000245755,1196210976,228.88,2026-07-28 05:26:34,PURCHASE,92750903791782000001556930,9234690379178300302457,7.93,49993142,903791782,,,,MANIFEST AGGREGATED,,1405372,861523444,FC,
13100147,8054.92,1000245755,1196210976,228.88,2026-07-28 05:26:34,PURCHASE,92750903791782000001556930,9234690379178300302464,10.8,49993142,903791782,,,,MANIFEST AGGREGATED,,1405089,861432541,FC,
13100147,8054.92,1000245755,1196210976,228.88,2026-07-28 05:26:34,PURCHASE,92750903791782000001556930,9200190379178300503319,5.94,49993142,903791782,,,,MANIFEST AGGREGATED,,1406220,861434959,FC,
13100147,8054.92,1000245755,1196210976,228.88,2026-07-28 05:26:34,PURCHASE,92750903791782000001556930,9234690379178300302396,10.24,49993142,903791782,,,,MANIFEST AGGREGATED,,1403233,861428706,FC,
13100147,8054.92,1000245755,1196210976,228.88,2026-07-28 05:26:34,PURCHASE,92750903791782000001556930,9200190379178300503272,5.56,49993142,903791782,,,,MANIFEST AGGREGATED,,1407233,861437809,FC,
13100147,8054.92,1000245755,1196210976,228.88,2026-07-28 05:26:34,PURCHASE,92750903791782000001556930,9200190379178300503296,4.54,49993142,903791782,,,,MANIFEST AGGREGATED,,,860341146,FC,
13100147,8054.92,1000245755,1196210976,228.88,2026-07-28 05:26:34,PURCHASE,92750903791782000001556930,9200190379178300503333,6.64,49993142,903791782,,,,MANIFEST AGGREGATED,,,861699749,FC,
13100147,8054.92,1000245755,1196210976,228.88,2026-07-28 05:26:34,PURCHASE,92750903791782000001556930,9200190379178300503203,4.54,49993142,903791782,,,,MANIFEST AGGREGATED,,,861661002,FC,
13100147,8054.92,1000245755,1196210976,228.88,2026-07-28 05:26:34,PURCHASE,92750903791782000001556930,9200190379178300503166,4.54,49993142,903791782,,,,MANIFEST AGGREGATED,,,861664116,FC,
13100147,8054.92,1000245755,1196210976,228.88,2026-07-28 05:26:34,PURCHASE,92750903791782000001556930,9200190379178300503159,4.7,49993142,903791782,,,,MANIFEST AGGREGATED,,,861589099,FC,
13100147,8054.92,1000245755,1196210976,228.88,2026-07-28 05:26:34,PURCHASE,92750903791782000001556930,9200190379178300503265,4.05,49993142,903791782,,,,MANIFEST AGGREGATED,,,861583668,FC,
13100147,8054.92,1000245755,1196210976,228.88,2026-07-28 05:26:34,PURCHASE,92750903791782000001556930,9200190379178300503241,5.8,49993142,903791782,,,,MANIFEST AGGREGATED,,1407132,861437571,FC,
13100147,8054.92,1000245755,1196210976,228.88,2026-07-28 05:26:34,PURCHASE,92750903791782000001556930,9200190379178300503197,4.25,49993142,903791782,,,,MANIFEST AGGREGATED,,,861664376,FC,
13100147,8054.92,1000245755,1196210976,228.88,2026-07-28 05:26:34,PURCHASE,92750903791782000001556930,9200190379178300503289,4.54,49993142,903791782,,,,MANIFEST AGGREGATED,,,860441555,FC,
13100147,8054.92,1000245755,1196210978,60.96,2026-07-28 05:26:34,PURCHASE,92750903791782000001556930,9270190379178300072371,28.2,49993142,903791782,,,,MANIFEST AGGREGATED,,,861647261,EX,
13100147,8054.92,1000245755,1196210978,60.96,2026-07-28 05:26:34,PURCHASE,92750903791782000001556930,9270190379178300072364,32.76,49993142,903791782,,,,MANIFEST AGGREGATED,,,861590015,EX,
13100147,8054.92,1000245755,1196211200,174.79,2026-07-28 05:26:55,PURCHASE,92750903791782000001556916,9205590384491000067277,16.37,49993142,903791782,,,,MANIFEST AGGREGATED,,,860649097,PM,
13100147,8054.92,1000245755,1196211200,174.79,2026-07-28 05:26:55,PURCHASE,92750903791782000001556916,9205590384491000067185,15.22,49993142,903791782,,,,MANIFEST AGGREGATED,,,861168262,PM,
13100147,8054.92,1000245755,1196211200,174.79,2026-07-28 05:26:55,PURCHASE,92750903791782000001556916,9205590384491000067291,15.22,49993142,903791782,,,,MANIFEST AGGREGATED,,,861267525,PM,
13100147,8054.92,1000245755,1196211200,174.79,2026-07-28 05:26:55,PURCHASE,92750903791782000001556916,9205590384491000067253,9.5,49993142,903791782,,,,MANIFEST AGGREGATED,,,860649471,PM,
13100147,8054.92,1000245755,1196211200,174.79,2026-07-28 05:26:55,PURCHASE,92750903791782000001556916,9205590384491000067147,16.37,49993142,903791782,,,,MANIFEST AGGREGATED,,,860179122,PM,
13100147,8054.92,1000245755,1196211200,174.79,2026-07-28 05:26:55,PURCHASE,92750903791782000001556916,9205590384491000067178,15.22,49993142,903791782,,,,MANIFEST AGGREGATED,,,860639843,PM,
13100147,8054.92,1000245755,1196211200,174.79,2026-07-28 05:26:55,PURCHASE,92750903791782000001556916,9205590384491000067314,16.37,49993142,903791782,,,,MANIFEST AGGREGATED,,,859866559,PM,
13100147,8054.92,1000245755,1196211200,174.79,2026-07-28 05:26:55,PURCHASE,92750903791782000001556916,9205590384491000067215,15.22,49993142,903791782,,,,MANIFEST AGGREGATED,,,860104353,PM,
13100147,8054.92,1000245755,1196211200,174.79,2026-07-28 05:26:55,PURCHASE,92750903791782000001556916,9205590384491000067154,15.51,49993142,903791782,,,,MANIFEST AGGREGATED,,,860690359,PM,
13100147,8054.92,1000245755,1196211200,174.79,2026-07-28 05:26:55,PURCHASE,92750903791782000001556916,9205590384491000067321,12.97,49993142,903791782,,,,MANIFEST AGGREGATED,,,860874987,PM,
13100147,8054.92,1000245755,1196211200,174.79,2026-07-28 05:26:55,PURCHASE,92750903791782000001556916,9205590384491000067307,26.82,49993142,903791782,,,,MANIFEST AGGREGATED,,,859880775,PM,
13100147,8054.92,1000245755,1196211198,2204.99,2026-07-28 05:26:55,PURCHASE,92750903791782000001556916,9234690384491000273073,6.16,49993142,903791782,,,,MANIFEST AGGREGATED,,CE1048038US,860832036,FC,
13100147,8054.92,1000245755,1196211198,2204.99,2026-07-28 05:26:55,PURCHASE,92750903791782000001556916,9200190384491000842512,4.45,49993142,903791782,,,,MANIFEST AGGREGATED,,,861060815,FC,
13100147,8054.92,1000245755,1196211198,2204.99,2026-07-28 05:26:55,PURCHASE,92750903791782000001556916,9200190384491000842772,4.42,49993142,903791782,,,,MANIFEST AGGREGATED,,,861199210,FC,
13100147,8054.92,1000245755,1196211198,2204.99,2026-07-28 05:26:55,PURCHASE,92750903791782000001556916,9200190384491000845148,5.39,49993142,903791782,,,,MANIFEST AGGREGATED,,CE1048217US,861559992,FC,
13100147,8054.92,1000245755,1196211198,2204.99,2026-07-28 05:26:55,PURCHASE,92750903791782000001556916,9234690384491000273028,11.84,49993142,903791782,,,,MANIFEST AGGREGATED,,,860649190,FC,
13100147,8054.92,1000245755,1196211198,2204.99,2026-07-28 05:26:55,PURCHASE,92750903791782000001556916,9218490384491000135218,4.42,49993142,903791782,,,,MANIFEST AGGREGATED,,,860205296,FC,
13100147,8054.92,1000245755,1196211198,2204.99,2026-07-28 05:26:55,PURCHASE,92750903791782000001556916,9234690384491000273134,7.93,49993142,903791782,,,,MANIFEST AGGREGATED,,,859649125,FC,
13100147,8054.92,1000245755,1196211198,2204.99,2026-07-28 05:26:55,PURCHASE,92750903791782000001556916,9234690384491000272915,6.61,49993142,903791782,,,,MANIFEST AGGREGATED,,CE1047975US,860567169,FC,
13100147,8054.92,1000245755,1196211198,2204.99,2026-07-28 05:26:55,PURCHASE,92750903791782000001556916,9200190384491000842673,4.45,49993142,903791782,,,,MANIFEST AGGREGATED,,,860460293,FC,
13100147,8054.92,1000245755,1196211198,2204.99,2026-07-28 05:26:55,PURCHASE,92750903791782000001556916,9200190384491000844851,4.89,49993142,903791782,,,,MANIFEST AGGREGATED,,CE1048235US,861560521,FC,
13100147,8054.92,1000245755,1196211198,2204.99,2026-07-28 05:26:55,PURCHASE,92750903791782000001556916,9200190384491000842871,4.42,49993142,903791782,,,,MANIFEST AGGREGATED,,,859950340,FC,
13100147,8054.92,1000245755,1196211198,2204.99,2026-07-28 05:26:55,PURCHASE,92750903791782000001556916,9200190384491000844141,4.62,49993142,903791782,,,,MANIFEST AGGREGATED,,CE1047940US,860483130,FC,
13100147,8054.92,1000245755,1196211198,2204.99,2026-07-28 05:26:55,PURCHASE,92750903791782000001556916,9200190384491000844639,5.39,49993142,903791782,,,,MANIFEST AGGREGATED,,CE1048268US,861561641,FC,
13100147,8054.92,1000245755,1196211198,2204.99,2026-07-28 05:26:55,PURCHASE,92750903791782000001556916,9234690384491000272649,9.2,49993142,903791782,,,,MANIFEST AGGREGATED,,,861414671,FC,
13100147,8054.92,1000245755,1196211198,2204.99,2026-07-28 05:26:55,PURCHASE,92750903791782000001556916,9200190384491000843731,4.45,49993142,903791782,,,,MANIFEST AGGREGATED,,,860440512,FC,
13100147,8054.92,1000245755,1196211198,2204.99,2026-07-28 05:26:55,PURCHASE,92750903791782000001556916,9200190384491000843632,4.62,49993142,903791782,,,,MANIFEST AGGREGATED,,CE1048116US,861071421,FC,
13100147,8054.92,1000245755,1196211198,2204.99,2026-07-28 05:26:55,PURCHASE,92750903791782000001556916,9200190384491000843472,4.45,49993142,903791782,,,,MANIFEST AGGREGATED,,,859814516,FC,
13100147,8054.92,1000245755,1196211198,2204.99,2026-07-28 05:26:55,PURCHASE,92750903791782000001556916,9200190384491000844882,4.89,49993142,903791782,,,,MANIFEST AGGREGATED,,CE1048237US,861560596,FC,
13100147,8054.92,1000245755,1196211198,2204.99,2026-07-28 05:26:55,PURCHASE,92750903791782000001556916,9200190384491000842710,4.45,49993142,903791782,,,,MANIFEST AGGREGATED,,,861051780,FC,
13100147,8054.92,1000245755,1196211198,2204.99,2026-07-28 05:26:55,PURCHASE,92750903791782000001556916,9200190384491000844226,4.14,49993142,903791782,,,,MANIFEST AGGREGATED,,,860963223,FC,
13100147,8054.92,1000245755,1196211198,2204.99,2026-07-28 05:26:55,PURCHASE,92750903791782000001556916,9200190384491000844417,5.07,49993142,903791782,,,,MANIFEST AGGREGATED,,,860649475,FC,
13100147,8054.92,1000245755,1196211198,2204.99,2026-07-28 05:26:55,PURCHASE,92750903791782000001556916,9200190384491000844905,5.39,49993142,903791782,,,,MANIFEST AGGREGATED,,CE1048262US,861561449,FC,
13100147,8054.92,1000245755,1196211198,2204.99,2026-07-28 05:26:55,PURCHASE,92750903791782000001556916,9200190384491000842987,4.14,49993142,903791782,,,,MANIFEST AGGREGATED,,,859940371,FC,
13100147,8054.92,1000245755,1196211198,2204.99,2026-07-28 05:26:55,PURCHASE,92750903791782000001556916,9200190384491000842802,4.45,49993142,903791782,,,,MANIFEST AGGREGATED,,,860823409,FC,
13100147,8054.92,1000245755,1196211198,2204.99,2026-07-28 05:26:55,PURCHASE,92750903791782000001556916,9234690384491000272960,9.2,49993142,903791782,,,,MANIFEST AGGREGATED,,,861089094,FC,
13100147,8054.92,1000245755,1196211198,2204.99,2026-07-28 05:26:55,PURCHASE,92750903791782000001556916,9200190384491000844172,4.17,49993142,903791782,,,,MANIFEST AGGREGATED,,CE1048034US,860823596,FC,
